Título,Info,postingpills,Precio,postingcardexpenses,Localización,Palabras_clave,publisherlogo_URL,gotoposting,Descripción,Superficie,Recamaras,Baños,Estacionamiento
Venta y Renta en Camino a Barra Vieja,+ 5,,"MN 26,000",,"Acapulco de Juárez, Guerrero","3 rec.
2 baños",https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Departamento - Acapulco de Juárez,"Terra Mar Bienes Raíces AcapulcoVenta-Renta-Administración & ConstrucciónVende y renta departamento en zona Diamante. Zona: Diamante Fracc/ Colonia: Camino a Barra Vieja Número de recámaras: 3-Rec 1( 1 cama King size) -Rec 2 ( 1 cama Queen) -Rec 3 (2 camas individuales) Número de baños: 2 Mts2 de construcción: 154 mts2Características: -3 niveles -Sala/ Comedor -Cocina -Terraza con mesa -Baño de visitas -Área de lavado -Terraza con teca y jacuzzi ( No funciona) -Camastro con mesita Amenidades: -Alberca común muy amplia y padre -Palapa/Bar-Salón de juegos -Áreas múltiples-Club de Playa( Cuenta con alberca, acceso a playa, baños, palapa/ bar, asoleadero) Capacidad máxima: 6 personas Precio por noche -Temp. Baja: $3, 500. 00 m. n -Puentes: $4, 500. 00 m. n -Temp. Alta: $6, 500. 00 m. n -Año Nuevo: $7, 500. 00 m. n (Incluye servicio de camarista) Precio de renta mensual: $26, 000. 00 m. n (No incluye los servicios de agua, luz y gas) Precio de venta: $3, 700, 000. 00 m. nMantenimiento $7, 728. 00 m. n mensualObservaciones: *El Club de Playa se encuentra cruzando la calle a pie (Es uso exclusivo para los departamentos de ese condominio) *El servicio de cocinera es de $300. 00 m. n diarios contáctanos Acapulco: Ver datos 484-68-65 Ver datos 484-73- 78 Ver datos 158-18- Facebook: Terra Mar Acapulcoexención de responsabilidad: La información que aparece en este inmueble dada por el propietario. Terra Mar Bienes Raíces hace todo lo posible para garantizar la exactitud de esta información, pero no puede ser responsable de omisiones o errores. Los precios y tipos de cambio están sujetos a cambios. ",,3 rec.,2 baños,
Cda. Niños Héroes de Veracruz,+ 40,,"MN 22,000",,"Fraccionamiento Costa Azul, Acapulco de Juárez","4000 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/inversiones-inteligentes_21745-inmuebles.html,Espléndido Depto. con Vista Panorámica a La Bahía,"Increíble departamento zona dorada, con una vista preciosa A la bahia, con amplia terraza, en sala Y recamaras, hermosa area de alberca, impecable condominio, ubicadisimo, cerca de todo, centros comerciales, discotecas, restaurantes, bancos, playa, tiendas de conveniencia. Renta por mes O por noche. Precio por noche temporada baja $2, 500, preguntar por tarifa de otras temporadas. Ocupación para 4 personas. Wig: pG5PxJn",4000 m²,2 rec.,2 baños,1 estac.
Pueblo Llano Largo,,,"MN 3,800",+ MN 1 Mantenimiento,"Pueblo Llano Largo, Acapulco de Juárez","55 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Renta Departamento Amueblado por Mes y por Día en Marquesa,"3er piso. $3, 800. 00 renta por mes incluye mantenimiento y agua. Renta por noche $1, 500. 00. 2 recámaras una con aire acondicionado. 1 baño. Alberca. Estacionamiento. Vigilancia las 24 horas",55 m²,2 rec.,1 baño,1 estac.
Departamento en Marina Brisas,,,"MN 32,000",,"Fraccionamiento Marina Brisas, Acapulco de Juárez","4 rec.
4 baños",https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Departamento en Marina Brisas,"Terra Mar Bienes Raíces AcapulcoVenta-Renta-Administración & ConstrucciónRenta departamento, ubicado en Fracc Marina BrisasZona: DoradaFracc/ Colonia: Marina BrisasNúmero de recámaras: 4 Número de baños: 4 ½ Características: -Estancia-Estudio de t. v-Ventiladores-Desayunador-Cocina-Alacena -Jacuzzi-2 lugares de estacionamiento Amenidades: -Alberca -Asoleadero-Palapa/ Bar-Salón de juegos-GimnasioPrecio por noche -Temp. Baja: $500. 00 usd -Temp. Alta: $600. 00 usd Precio de renta mensual: $32, 000. 00 m. n contáctanos Acapulco: Ver datos 484-68-65 Ver datos 484-73- 78 Ver datos 158-18- Facebook: Terra Mar Acapulco",,4 rec.,4 baños,
Condominio en Costa Azul en Venta,+ 10,,"MN 3,000",,"Progreso, Acapulco de Juárez","4 rec.
4 baños",https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Condominio en Costa Azul en Venta,"Ubicación: Costa Azul No. De personas máximo: 8No. Baños: 4No. De recámaras: 4 ( King Size, 2 matrimoniales, 2 individuales) con aire acondicionado Características: Terraza con jacuzzi, amplia estancia, comedor y sala, pantalla, wifi, teléfono, cocina equipada, estacionamiento para 2 autos, servicio de limpieza Precio por noche: $3, 000 (más comisión $3, 500) Precio por mes: $15, 000 (más el pago del servicio de luz) , incluye: -dos días de limpieza semanal-cambios de blancos semanal-servicio de agua-servicio de internet-servicio telefónico-estacionamientoObservaciones: Mascotas, ideal para jóvenes, no cuenta con vecinos, no hay restricción de ruido o música -Alrededor se ubican excelentes restaurantes, bares, discoteque, tiendas de autoservicio, cines, etc. (A dos cuadras de la playa, zona privilegiada y segura) ",,4 rec.,4 baños,
" Av. Costera de las Palmas 114, Acapulco, Gro.",+ 25,,"MN 45,000","+ MN 11,500 Mantenimiento","Granjas del Marqués, Acapulco de Juárez","240 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/lourdes-avila_22678-inmuebles.html,"Costera de Las Palmas, Costa Bamboo, Acapulco, Guerrero","Departamento de 240m2 en tercer piso. 3 recámaras con baño propio cada una, la recámara principal con vista al mar, 1/2 baño de visitas, 2 terrazas y una con jacuzzi, cuarto de servicio con baño completo, cocina equipada, cuarto de lavado. 2 autos (uno techado), hay cajones de visitas, bodega en sótano, 2 elevadores más uno de servicio. 2 Albercas, asoleaderos, bar en área de alberca, acceso a la playa. Ludoteca, salón de usos múltiples, gimnasio, Spa. Baños y regaderas generales. Área de juegos para niños y áreas verdes. 10 cuartos hoteleros en mezzanine para renta de los propietarios (a tarifa de propietarío) 2 canchas de paddle. Mantenimiento $11, 500. Condominio de sólo 56 departamentos. Se aceptan mascotas en departamento y en área de playa. se muestran fotos amueblado únicamente para que se den una idea",240 m²,3 rec.,3 baños,2 estac.
Granjas del Marqués,+ 6,,"MN 20,000",,"Granjas del Marqués, Acapulco de Juárez","230 m²
5 rec.
5 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/marta-elba-perez-romo_50251894-inmuebles.html,"Cond. Copan Sobre Playa, 5 Recamaras","Cond. Copan planta baja. • Sobre playa. • 5 recamaras, 3 con una King, vista al mar y dos con dos matrimoniales c/u, todas con baño y a/a, la master con t. v. • Sala con t. v. Y comedor con baño de visitas. • Terraza techada comedor para 10 personas. • Cuarto de servicio con cama individual con baño. • Internet. • Cable. • 2 toldos y 3 camastros de playa. • 2 cajones de estacionamiento. amenidades. • Dos albercas grandes, amplios jardines. • 1 cancha de tenis",230 m²,5 rec.,5 baños,1 estac.
Fraccionamiento Granjas del Márquez,+ 24,,"MN 60,000",,"Fraccionamiento Granjas del Márquez, Acapulco de Juárez","242 m²
4 rec.
3 baños
3 estac.",https://www.inmuebles24.com/inmobiliarias/asesores-inmobiliarios_20196-inmuebles.html,Excelente Departamento en Renta Acapulco Diamante,"El departamento esta ubicado en acapulco diamante, condominio peninsula. Muy cerca de la isla. Cuenta con sala comedor, cocina, área de servicio. 4 recámaras, baños. Canchas de padel. salón de eventos. Sala de cine. Gimnasio muy bien equipado. Spa. Elevadores, garage techado. Colinda con la playa. Renta $60, 000. 00 incluye el mantenimiento",242 m²,4 rec.,3 baños,3 estac.
Renta de Departamento 2 Recámaras; Zona Costera,,,"MN 15,000",,"Reforma de Costa Azul, Acapulco de Juárez","2 rec.
2 baños",https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Departamento en Renta por Año de 2 Recamaras Acapulco,"Terra Mar Bienes Raíces AcapulcoVenta-Renta-Administración& Construcción Zona: Costera Fracc/ Colonia: Miguel Alemán Ubicación: Entre la calle de Soriana y el Restaurant Pipos Número de recámaras: 2 -Rec 1 ( 2 camas matrimoniales) -Rec 2 ( 2 camas individuales) -Hay un pequeño cuarto que cuenta con 1 literaNúmero de baños: **Características: -Comedor -Cocina -T. V y video -Estacionamiento techado -Jacuzzi Amenidades: -Alberca -Elevador -Vigilancia 24 hrs Precio de renta mensual: $15, 000. 00 m. n Observaciones: *El departamento no tiene playa contáctanos Acapulco: Ver datos 4Ver datos) 484-73- Ver datos- Facebook: Terra Mar Acapulcoexención de responsabilidad: La información que aparece en este inmueble dada por el propietario. Terra Mar Bienes Raíces hace todo lo posible para garantizar la exactitud de esta información, pero no puede ser responsable de omisiones o errores. Los precios y tipos de cambio están sujetos a cambios",,2 rec.,2 baños,
Brisas del Marqués,+ 33,,"MN 60,000",,"Brisas del Marqués, Acapulco de Juárez","1 m²
3 rec.
3 baños
3 estac.",https://www.inmuebles24.com/inmobiliarias/asesores-inmobiliarios_20196-inmuebles.html,"Vendo Departamento en Acapulco, Brisas del Marque Punta Marques","Hermosos Departamentos con las vistas más bonitas de todo Acapulco!!, , una fusión entre la selva y el mar, , avistamiento de Ballenas en época de invierno, y el paso de hermosos Yates!!. Este condominio cuenta con 6 torres. Quedando a la venta solo 4 departamentos, que van desde $5, 500, 000. 00. 00 hasta $12, 000, 000 (El Penthouse). Todos cuentan con: 3 Recámaras, principal con vestidor y baño privado y terraza, amplia sala comedor, , gran terraza, despensa, , cuenta el condominio con 2 albercas, 5 jacuzzis, , Club de Mar, , Gym, 2 restaurantes, y desde luego los más bellos atardeceres, , 192. 92 m2 Totales",1 m²,3 rec.,3 baños,3 estac.
MARINA DIAMANTE ,+ 10,,"MN 7,000","+ MN 1,000 Mantenimiento","Fraccionamiento Marina Diamante, Acapulco de Juárez","65 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Departamento Planta Baja en Renta Marina Diamante,Renta de departamento planta baja en marina dimante. renta mensual 7000. 2 recamaras. 1 baño. alberca. estacionamiento. seguridad las 24 horas. planta baja,65 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Caracol Diamante,+ 26,,"MN 1,200",,"Fraccionamiento Caracol Diamante, Acapulco de Juárez","1500 m²
2 rec.
2 baños",https://www.inmuebles24.com/inmobiliarias/aspro-bienes-raices_50288413-inmuebles.html,Departamento,"Departamento en Acapulco diamante, con roof garden privado, áreas comunes como alberca, lago, pista para correr, caminar, andar en bicicleta, áreas verdes. Vigilancia las 24 hrs, zona residencial, acceso a la playa muy cerca, cruzando la calle. 2 recamaras, 2 baños completos, sala, comedor, cocina, lavadora, refrigerador, Tv y cable en las dos habitaciones y estancia, internet Wi Fi, aire acondicionado en todas las áreas del departamento, persianas con blackout. Recién remodelado. A 5 minutos del centro comercial la isla, Chedraui. Oxxo a un lado. Muy céntrico. Fraccionamiento puente del. Mar, carretera a barra vieja número 1000 (a medio kilómetro del centro comercial la isla) 1200 por noche. Hay un cargo extra de 1200 pesos por limpieza y desinfección. contacto: Ver datos 71 o Ver datos 93 (nextel) ",1500 m²,2 rec.,2 baños,
"Renta de Departamento, Ubicado en  Avenida de las Palmas.",+ 17,,"MN 75,000",,"Granjas del Marqués, Acapulco de Juárez","4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Departamento - Granjas del Marqués,"Terra Mar Bienes Raíces AcapulcoVenta-Renta-Administración& ConstrucciónRenta de departamento, ubicado en zona Diamante. Zona: DiamanteFracc/Colonia: Granjas del Marqués- Condominio MaralagoUbicación: Avenida de las PalmasNúmero de recámaras: 4Número de baños: 4Características: -Sala-Comedor-Cocina-Terraza vista espectacular-Estacionamientos 2Amenidades: -Alberca adultos-Alberca niños-Palapa bar-Área de playa con servicio de toldos-Ludoteca-Gym-Spa-CanchasPrecio de renta anual: $75, 000. 00 m. n mensualexención de responsabilidad: La información que aparece en este inmueble dada por el propietario. Terra Mar Bienes Raíces hace todo lo posible para garantizar la exactitud de esta información, pero no puede ser responsable de omisiones o errores. Los precios y tipos de cambio están sujetos a cambios. ",,4 rec.,4 baños,2 estac.
Playa Diamante,+ 41,,"USD 1,250,000","+ MN 57,570 Mantenimiento","Barra Diamante, Acapulco de Juárez","450 m²
5 rec.
5 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/place-now-real-estate_50300045-inmuebles.html,"Departamento en Venta, Acapulco de Juárez","Id: md043. Vendo espectacular departamento en Costa Ventura. Departamento de 450 m2 en el piso 14. El departamento se vende amueblado y consta de 5 recamaras, 5. 5 baños, Sala de estar, Sala de tv, Comedor, Cocina, increíble Terraza con vista al mar, Lavandería. La recámara principal tiene tina y terraza con vista al mar. Todos los cuartos tienen closet y baño completo Los cuartos son muy amplios. 3 cuartos tienen 2 camas queen, 1 cuarto tiene 1 cama queen y el principal una cama King. Amenidades: Ludoteca, Área de juegos infantiles en jardín, Gimnasio, Canchas Pádel y Tenis, Cancha basquetbol, Spa (servicios de spa y más), Enfermería (súper equipada), Alberca principal, Alberca para bebés. Alberca con resbaladilla para niños, Jacuzzi principal, Jacuzzi adultos. Bar/restaurante, Bar adultos. Servicio de bebidas/comida en alberca y playa. Estacionamiento para visitas, Seguridad privada. Conócelo! Mireille Diez de Bonilla: Cel Ver datos. Mail: @placenow. mx",450 m²,5 rec.,5 baños,2 estac.
Fraccionamiento marina diamante,+ 1,,"MN 7,000",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","65 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Departamento Planta Baja en Marina Dimante,Renta de departamento planta baja en marina dimante. renta por mes Y por dia. 2 recamaras. 1 baño. alberca. estacionamiento. seguridad las 24 horas. planta baja. $7000 mes. $ 1500 dia. 7 4 4 4 1 5 7 7 2 4 mas informacion,65 m²,2 rec.,1 baño,1 estac.
Av. Costera Miguel Aleman,+ 25,,"MN 38,000",,"Fraccionamiento Costa Azul, Acapulco de Juárez","2000 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/inversiones-inteligentes_21745-inmuebles.html,Cómodo Depto. en La Playa!,"Departamento con excelente ubicación y vista a la hermosa bahía de Acapulco. Hermosa terraza con agradable salita, 2 recámaras cada una con su baño, 1 cama king y la otra con 2 camas matrimoniales, una ocupación máxima de 6 personas. Wi Fi, sala con Smart tv, y múltiples amenidades: albercas con vista, restaurant/bar, gimnasio, spa, jacuzzi, ludoteca y salida a la Playa. Se encuentra sobre la Av. Costera Miguel Aleman y el condominio va, desde la Costera hasta la Playa. A lo alrededores caminando puedes encontrar: restaurantes, enfrente esta Wal Mart, bancos, farmacias y más. Se puede rentar por mes o por noche. Preguntar por precio, dependiendo de la temporada. Precio por noche, temporada baja: $4, 500. Wig: pqzxomg",2000 m²,2 rec.,2 baños,1 estac.
Primero de Mayo,,,"MN 12,000",,"Primero de Mayo, Acapulco de Juárez","100 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/century-21-star_157269-inmuebles.html,Condominio Kabah,Bonito departamento para vacacionar. ,100 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Playa Guitarrón,+ 4,,"MN 35,000",,"Fraccionamiento Playa Guitarrón, Acapulco de Juárez","190 m²
3 rec.
3 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/marta-elba-perez-romo_50251894-inmuebles.html,"Venta Cond. Paula, Tres Recamas, Excelente Vista a La Bahia","Cond Guitarron. 10 deptos. Excelente vista a la bahía. 190 mts2. Cocina. Lavandería. Sala. comedor. Tres recamaras Tres Baños completos. Terraza. Elevador. Vigilancia las 24 horas. Mto mensual. 10, 500. 00. Incluye agua, gas y aseo del depto tres veces por semana Bodega Alberca Terraza Área techada Mobiliario de exterior Se construyó en 1990",190 m²,3 rec.,3 baños,1 estac.
Fraccionamiento Playa Diamante,+ 9,,"MN 6,500",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","160 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/marta-elba-perez-romo_50251894-inmuebles.html,Cond. Tikal Dos Recs. 5 Membresias Platino,"• Cond. Tikal sobre playa. • Dos recámaras, la master con una King con baño y la 2ª. Con dos matrimoniales comparte baño con la estancia, ambas con tele de plasma. • Sala con tele de plasma y dentro del librero hay dos camitas individuales. • Comedor. • Balcón. • Cocina integral. • Cuarto de servicio con una individual y se saca de abajo otra individual y baño completo. • Centro de lavado. • Internet. • Cable. • Estacionamiento para dos autos. • 5 membresias platino, acceso al golf, canchas de tenis, spa, instalaciones de las amenidades del Hotel Mayan, parque acuático y club de playa. amenidades. • Recepción, lobby, sala de estar con wifi, alberca y jardines. El cliente debe dejar un deposito en garantia de $2, 000. 00 M. N. , por deterioros O perdidas de mobiliario de areas comunes, se le regresara al terminar la renta, siempre Y cuando no haya cargos que descontar. Importante: la administracion cobra $500. 00 M. N. Al entrar para el servicio de mobiliario de playa. ",160 m²,2 rec.,2 baños,1 estac.
Fraccionamiento Mayan Island,+ 24,,"MN 60,000",,"Fraccionamiento Mayan Island, Acapulco de Juárez","1 m²
4 rec.
4 baños",https://www.inmuebles24.com/inmobiliarias/asesores-inmobiliarios_20196-inmuebles.html,Departamento de Lujo en Venta Ubicado en La Mejor Zona de Acapulco Diamante,"Hermoso departamento en venta con vista al mar, amenidades de lujo, preciosos atardeceres Y una de las zonas totalmente limpia Y segura de todo acapulco diamanete!! 4 Recamaras. 4 Baños. Sala Comedor. Cocina. Balcón. Lavandería y Cuarto de servicio. Elegante Condominio privado con grandes Amenidades de lujo!!, , *playa. *Gran alberca con Pool Bar rodeado de hermosas áreas verdes tropicales. *Restaurante. *Gimnasio profesional. *Spa. Hermoso!! *Salón de. juegos. *Sala de cine. *Canchas de Padel. *Zona segura y vigilada al igual al exterior del condominio donde las visitas pueden estacionarse sin ninguna preocupación ya que el condominio no cuenta con estacionamiento de visitas. Uno de los lugares más impecables, limpios y modernos de Acapulco Diamante. Venta. $17, 000, 000. renta. $65, 000",1 m²,4 rec.,4 baños,
"Punta Diamante, Acapulco, Guerrero",+ 21,,"MN 13,000",,"Barra Diamante, Acapulco de Juárez","248 m²
3 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/jatziri-bienes-raices_50242244-inmuebles.html,Excelente Departamento en Venta en Acapulco,"Vista Real. Lujoso departamento ubicado en la zona más exclusiva de Acapulco que es punta diamante. Cuenta con 3 recámaras con vista, 4 1/2 baños, cocina equipada con isla - desayunador, sala amplia de piel, comedor para 8 personas. Terrazas con vista a la bahía de Pichilingue y Puerto Marqués. Recámara 1: cuenta con 1 cama King Size, baño con tina y vista al mar. Recámara 2: Cuenta con 1 cama King y 1 individual, baño y vista al mar. Recámara 3: cuenta con 2 camas matrimoniales, baño y vista a la selva. Aire acondicionado en todo el departamento. Estacionamiento techado para 2 autos. Áreas Comunes: Club náutico, playa propia, muelle, camastros de madera. Restaurante con precios muy accesibles, Spa, gym equipado con vista al mar, vapor y sauna. 2 albercas y chapoteadero, 2 toboganes y área infantil. Vigilancia las 24 horas. Precio por noche: $6, 500 excepto días festivos y vacaciones, para 8 personas máximo. Se renta mínimo 2 noches. Precio de venta: $600, 000 usd incluye 1 estacionamiento para lancha y 1 bodega en el área del estacionamiento. Construcción 248 M2",248 m²,3 rec.,4 baños,2 estac.
Balcones DE Costa Azul,,,"MN 2,500",,"Fraccionamiento Balcones de Costa Azul, Acapulco de Juárez","1 rec.
1 baño",https://www.inmuebles24.com/inmobiliarias/duran-bienes-raices_51197142-inmuebles.html,Departamento - Fraccionamiento Balcones de Costa Azul,Cómoda Suite  super ubicada  y Con Vista Divina en uno de losfraccionamientos más prácticosY seguros de la ZonaCuenta con Estancia Dividida en : Amplia RecámaraSala  Cocina  Comedor Aire Acondicionado Alberca en comúnÁreas Verdes Capacidad Máxima 4 personassin estacionamiento  Temporada Baja $1500Temporada Alta $2500,,1 rec.,1 baño,
Fraccionamiento La palma diamante,,,"MN 1,800","+ MN 1,300 Mantenimiento","Granjas del Marqués, Acapulco de Juárez","50 m²
1 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,"En Renta Suite Fraccionamiento La Palma, Diamante","Fraccionamiento La palma, suite, mantenimiento $1300, 50 metros cuadrados, una recámara, un baño y un estacionamiento, 9 años de construcción planta baja, sobre boulevard, granjas del marqués",50 m²,1 rec.,1 baño,1 estac.
Fraccionamiento Playa Diamante,+ 1,,"MN 18,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","100 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Departamento en Condominio Laguna Residencial Torre Cielo Renta,"Departamento en renta Laguna Residencial Torre Cielo 802. ( aún lado de las canchas de tenis Vidanta) 2 recamaras. 2 Baños. Aire acondicionado. Cocina integral. 1 Cajón de estacionamiento. Elevador. Alberca. Canchas de tenis. Cancha de Voliboll. Gym ( en la rentas por noche se paga visita por usar el Gym, si la renta es anual va incluido el Gym) Área de entretenimiento. Renta mensual $18, 000. 00 pesos incluyendo mantenimiento. Capacidad 6 adultos 1 menor por regla del condominio. elizabeth jimenez merino Ver datos de acapulco A tu alcance",100 m²,2 rec.,2 baños,1 estac.
MARINA DIAMANTE,+ 2,,"MN 7,500","+ MN 1,100 Mantenimiento","Fraccionamiento Marina Diamante, Acapulco de Juárez","65 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Departamento Pb en Marina Diamante,"Excelente departamento pb en marina diamante en venta!, muy cerca de las mejores playas de acapulco diamante y la isla shopping. El depto. Se encuentra a 2 m de la alberca y consta de: estacionamiento. 64 m2. 2 recamaras. 1 baño. amueblado. estacionamiento. Zotehuela. amenidades (alberca, seguridad 24/7, cancha de tenis, ciclo pista). áreas verdes muy bien cuidadas. ️A tan solo $1, 365, 000",65 m²,2 rec.,1 baño,1 estac.
Boulevard Cabo Marques,+ 39,,"MN 50,000",,"Fraccionamiento Real Diamante, Acapulco de Juárez","5000 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/inversiones-inteligentes_21745-inmuebles.html,Departamento de Lujo en Playa en Fracc. Exclusivo,"Hermoso y amplio departamento en Punta Diamante, ubicado en el exclusivo fraccionamiento Cabo Marqués. Privacidad absoluta, seguridad garantizada, proyectos vecinos de excelente calidad, son algunas de las características en el fraccionamiento. Este condominio en particular brinda un estilo único de vida, ya que cuenta con un club náutico con área de playa, espacio de almacenamiento para tu embarcación, muelle, restaurante, gimnasio, spa, áreas de juegos, 2 albercas y toboganes. Todo ésto con la vista y cercanía del mar q te permite no solo observarlo, sino hasta escuchar el sonido d el oleaje. El departamento tiene capacidad máxima para 12 personas contando bebés y niños. Cuenta con: - 4 Recámaras con baño completo. - Medio baño de visitas. - Comedor para 12 personas. - Internet y tv con sky en sala y recámara principal. - Cuarto de servicio con litera y baño completo. - Amplia cocina equipada. - Terraza con mesa expansible de 6 o 10 personas. - 2 lugares de estacionamiento. Precio por noche en temporada baja: $7, 000 pesos, temporada alta preguntar por precios. Renta Mensual en $50, 000 pesos más los servicios. La renta mensual solo incluye el mantenimiento. Wig: pfrytj5",5000 m²,4 rec.,4 baños,2 estac.
Gran VIA Tropical  30,+ 12,,"MN 8,500","+ MN 1,600 Mantenimiento","Fraccionamiento Las Playas, Acapulco de Juárez","91 m²
3 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casamar-bienes-raices_50265551-inmuebles.html,Departamento - Fraccionamiento Las Playas,"Departamento en renta, con una vista hermosa, consta de 2 recamaras, una de ellas con aire acondicionado, 2 baños completos, sala comedor, cocina, area de lavado, alberca chapoteadero, palapa, muelle, jardin, acceso al mar, estacionamiento para un auto. precio de renta $8, 500. 00pago de servicios como luz, agua Y gas son aparte. ",91 m²,3 rec.,2 baños,1 estac.
COSTA VICTORIA,+ 11,,"MN 45,000",,"Acapulco de Juárez, Guerrero","250 m²
3 rec.
4 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/re-max-casavende-acapulco_51037575-inmuebles.html,Costa Victoria Depto en Renta con Playa,"Hermoso departamento en renta con frente a playa y una vista espectacular, magica costa victoria. 4 recamaras, 4 baños, 2 cajones de estacionamiento, 2 terrazas. a solo 45, 000 pesos, con el mantenimienot incluido. Un exclusivo desarrollo con alta seguridad, se ubica junto a la base naval, multiples amenidades, spa, gimnasio, terrazas, albercas, pool bar, salon de usos multiples, elevadores, (4) ",250 m²,3 rec.,4 baños,1 estac.
Playa diamante,+ 10,,"MN 8,500",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","130 m²
4 rec.
4 baños
4 estac.",https://www.inmuebles24.com/inmobiliarias/inmobiliaria-wredem_50951286-inmuebles.html,Departamento en Renta en Condominio Velera Playa Diamante en Acapulco,"Inmobiliaria wredem ofrece en renta, fabuloso departamento, por Día, en condominio velera, ubicado en el fracc playa diamante en acapulco. Precio:: $8, 500 por dia > previa reservacion. -A pie de playa- 4 habitaciones. Vista al club de golf. Sala comedor. Aire acondicionado. Lavadora/secadora. Internet. Limpieza x dia. Departamento de lujo totalmente amueblado. Alberca. Gimnasio. Restaurant. Elevador. La mejor vista de Acapulco. Cerca de Centros Comerciales y Discotecas. . #Acapulco #Departamento #Renta #Alberca #Vacaciones #Playa #Lujo #velera #playadiamante",130 m²,4 rec.,4 baños,4 estac.
Gran Vía Tropical,+ 3,,"MN 9,000",,"Acapulco de Juárez, Guerrero","95 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/re-max-casavende-acapulco_51037575-inmuebles.html,Departamento en Renta Gran Vía Tropical,"Departamento de 2 recamaras, 2 baños completos, cocina integral con estufa eléctrica, sala comedor, aire acondicionado, ventiladores, 2 closets, son 95m2. El condominio cuenta con alberca, palapa bar, areas verdes, area de juegos, elevador, vigilancia las 24 horas. A unos pasos de la playa de Caleta y Caletilla, amueblado, incluye mantenimiento (4) ",95 m²,2 rec.,2 baños,1 estac.
Plan de los Amates,+ 15,,"MN 3,500",,"Plan de los Amates, Acapulco de Juárez","200 m²
3 rec.
4 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/century-21-star_157269-inmuebles.html,Excelente Departamamento de Playa Diamante,"Excelente departamento de playa en exclusiva zona Diamante, nuevo, amenidades, amueblado, cerca de Aeropuerto, centro comercial La Isla, Super Mercado, ¡Conózcalo! Capacidad: 9 personas máximo, prohibido mascotas. Renta: No incluye servicio de limpieza, si la requieren tiene un costo de $400 por día. Precio publicado por noche: Temporada baja $2, 090. Puentes $2, 900. Semana santa y diciembre $3, 500. Se reserva con el 50% del costo total de días de hospedaje y se liquida el resto un día antes de su llegada, ingresa con sus comprobantes de pago y reservación. ",200 m²,3 rec.,4 baños,1 estac.
